City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,tura,25.5198,90.2201,20.09,92,3,1.66,IN,1728860455
306,metlili chaamba,32.2667,3.6333,23.52,50,0,2.06,DZ,1728860456
307,port lincoln,-34.7333,135.8667,16.57,78,0,6.71,AU,1728860368
308,eastham,41.8301,-69.9739,16.01,90,100,2.57,US,1728860458
309,salinopolis,-0.6136,-47.3561,27.22,81,54,7.09,BR,1728860460
310,buta,2.7858,24.73,20.64,94,64,1.19,CD,1728860461
311,chibougamau,49.9168,-74.3659,3.79,87,100,2.06,CA,1728860255
312,villa gesell,-37.2639,-56.973,15.23,87,33,5.55,AR,1728860463
313,kapuskasing,49.4169,-82.4331,6.05,61,20,4.12,CA,1728860465
314,keflavik,64.0049,-22.5624,-0.76,64,0,3.6,IS,1728860467
315,mont-joli,48.5839,-68.1921,7.72,66,40,3.6,CA,1728860468
316,siguiri,11.6667,-9.5,24.07,92,100,2.43,GN,1728860469
317,argo,37.6333,22.7333,19.96,86,13,1.08,GR,1728860470
318,margate,51.3813,1.3862,9.83,75,100,4.07,GB,1728860401
319,bensonville,6.4461,-10.6125,22.95,96,100,2.1,LR,1728860472
320,jabor,5.921,169.6434,29.46,72,31,6.12,MH,1728860474
321,fasa,28.9383,53.6482,15.58,33,0,2.06,IR,1728860475
322,morozovsk,48.3539,41.8261,4.22,49,99,9.18,RU,1728860476
323,alesund,62.4723,6.1549,7.09,83,75,2.57,NO,1728860391
324,al bawiti,28.3492,28.8659,25.94,33,0,2.28,EG,1728860478
325,sherman,33.6357,-96.6089,32.32,32,0,3.09,US,1728860479
326,tyukalinsk,55.8732,72.1967,-4.35,86,32,2.43,RU,1728860481
327,galle,6.0367,80.217,25.11,89,100,5.63,LK,1728860483
328,mezhdurechensk,53.6942,88.0603,-2.72,94,97,0.22,RU,1728860485
329,bayanaul,50.7889,75.6956,-6.44,63,6,2.34,KZ,1728860486
330,al kharijah,25.4514,30.5464,26.5,29,0,3.0,EG,1728860488
331,luderitz,-26.6481,15.1594,17.88,64,66,11.16,NA,1728860489
332,mayya,61.7333,130.2811,-5.47,85,100,1.11,RU,1728860490
333,minab,27.1467,57.0801,28.41,70,0,0.99,IR,1728860491
334,ulsteinvik,62.3432,5.8487,7.09,89,100,1.79,NO,1728860492
335,komsomol'sk,49.0097,33.6455,11.19,88,100,3.42,UA,1728860494
336,bairnsdale,-37.8333,147.6167,11.26,89,100,0.83,AU,1728860495
337,usogorsk,63.4106,48.6872,2.22,76,100,3.08,RU,1728860496
338,barmer,25.75,71.3833,25.76,58,32,1.26,IN,1728860497
339,kabalo,-6.05,26.9167,23.58,56,32,1.72,CD,1728860498
340,monze,-16.2833,27.4833,23.42,50,100,1.7,ZM,1728860499
341,turkmenabat,39.0733,63.5786,10.99,71,0,3.09,TM,1728860501
342,aktau,43.65,51.2,2.32,52,3,6.76,KZ,1728860502
343,acapulco de juarez,16.8634,-99.8901,25.92,75,40,3.03,MX,1728860405
344,labuan,5.2767,115.2417,26.2,100,20,0.0,MY,1728860504
345,rio grande,-32.035,-52.0986,17.93,79,23,8.47,BR,1728860306
346,holualoa,19.6228,-155.9522,26.97,75,11,0.89,US,1728860506
347,alaghsas,17.0187,8.0168,30.79,14,55,2.66,NE,1728860507
348,surgut,61.25,73.4167,0.1,69,40,4.0,RU,1728860509
349,le port,-20.9373,55.2919,21.9,81,9,2.9,RE,1728860510
350,haiku-pauwela,20.9219,-156.3051,29.54,66,9,7.6,US,1728860512
351,santa cruz,-17.8,-63.1667,33.03,52,29,4.12,BO,1728860513
352,glennville,31.9366,-81.9285,20.4,55,0,1.88,US,1728860514
353,tongren,27.7172,109.1853,17.0,95,100,0.72,CN,1728860471
354,umm kaddadah,13.6017,26.6876,30.99,28,81,1.24,SD,1728860518
355,livingston,55.9029,-3.5226,6.05,88,0,1.03,GB,1728860520
356,salida,37.7058,-121.0849,28.81,46,0,0.89,US,1728860521
357,antsiranana,-12.2787,49.2917,22.44,69,11,7.93,MG,1728860522
358,nelson bay,-32.7167,152.15,21.16,67,99,1.79,AU,1728860523
359,zeya,53.75,127.2667,1.91,70,100,1.9,RU,1728860524
360,paka,4.6374,103.4368,23.96,100,100,0.0,MY,1728860526
361,lazaro cardenas,17.9583,-102.2,28.32,76,56,3.31,MX,1728860240
362,primorsk,46.7348,36.3443,13.3,91,100,3.94,UA,1728860528
